id,tokens,ner_tags
11,"['Here' ',' 'the' 'RAT' 'stores' 'all' 'the' 'captured' 'videos' 'in' 'a'
 '“' 'video.3gp' '”' 'file' '.']",[10 10 10 10 10 10 10 10 10 10 10 10  0 10 10 10]
12,"['It' 'also' 'harvests' 'call' 'details' 'and' 'SMS' 'logs' 'as' 'shown'
 'below' '.']",[10 10 10 10 10 10 10 10 10 10 10 10]
13,"['Upon' 'further' 'inspection' ',' 'we' 'have' 'observed' 'that' 'this'
 'RAT' 'extracts' 'WhatsApp' 'data' 'too' '.']",[10 10 10 10 10 10 10 10 10 10 10  3 10 10 10]
14,"['The' 'RAT' 'stores' 'all' 'the' 'data' 'in' 'a' 'database' '(' 'DB' ')'
 'in' 'order' 'to' 'send' 'it' 'to' 'the' 'Command' '&' 'Control' '(' 'C'
 '&' 'C' ')' 'server' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10]"
15,"['The' 'following' 'are' 'the' 'DBs' 'created' 'and' 'maintained' 'by'
 'the' 'RAT' '.']",[10 10 10 10 10 10 10 10 10 10 10 10]
16,"['We' 'saw' 'the' 'following' 'hardcoded' 'C' '&' 'C' 'server' 'location'
 'in' 'the' 'RAT' 'package' ':' 'Conclusion' ':' 'The' 'DroidJack' 'RAT'
 'is' 'another' 'example' 'of' 'a' 'growing' 'trend' 'in' 'which'
 'malware' 'authors' 'seek' 'to' 'exploit' 'public' 'interest' 'as' 'a'
 'way' 'to' 'spread' 'malware' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1  6 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
17,"['In' 'this' 'case' ',' 'like' 'others' 'before' ',' 'the' 'event' 'of'
 'a' 'popular' 'game' 'release' 'became' 'an' 'opportunity' 'to' 'trick'
 'unsuspecting' 'users' 'into' 'downloading' 'the' 'RAT' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10]"
18,"['As' 'a' 'reminder' ',' 'it' 'is' 'always' 'a' 'good' 'practice' 'to'
 'download' 'apps' 'only' 'from' 'trusted' 'app' 'stores' 'such' 'as'
 'Google' 'Play' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3  8 10]
19,"['This' 'practice' 'can' 'be' 'enforced' 'by' 'unchecking' 'the' '""'
 'Unknown' 'Sources' ""''"" 'option' 'under' 'the' '""' 'Security' ""''""
 'settings' 'of' 'your' 'device' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
20,"['XLoader' 'Disguises' 'as' 'Android' 'Apps' ',' 'Has' 'FakeSpy' 'Links'
 'This' 'new' 'XLoader' 'variant' 'poses' 'as' 'a' 'security' 'app' 'for'
 'Android' 'devices' ',' 'and' 'uses' 'a' 'malicious' 'iOS' 'profile' 'to'
 'affect' 'iPhone' 'and' 'iPad' 'devices' '.']","[ 1 10 10  3 10 10 10  1 10 10 10  1 10 10 10 10 10 10 10  3 10 10 10 10
 10 10  3 10 10 10  3 10  3 10 10]"
21,"['By' ':' 'Hara' 'Hiroaki' ',' 'Lilang' 'Wu' ',' 'Lorin' 'Wu' 'April' '02'
 ',' '2019' 'In' 'previous' 'attacks' ',' 'XLoader' 'posed' 'as'
 'Facebook' ',' 'Chrome' 'and' 'other' 'legitimate' 'applications' 'to'
 'trick' 'users' 'into' 'downloading' 'its' 'malicious' 'app' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1 10 10  3 10  3
 10 10 10 10 10 10 10 10 10 10 10 10 10]"
22,"['Trend' 'Micro' 'researchers' 'found' 'a' 'new' 'variant' 'that' 'uses'
 'a' 'different' 'way' 'to' 'lure' 'users' '.']",[ 2  7 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
23,"['This' 'new' 'XLoader' 'variant' 'poses' 'as' 'a' 'security' 'app' 'for'
 'Android' 'devices' ',' 'and' 'uses' 'a' 'malicious' 'iOS' 'profile' 'to'
 'affect' 'iPhone' 'and' 'iPad' 'devices' '.']","[10 10  1 10 10 10 10 10 10 10  3 10 10 10 10 10 10  3 10 10 10  3 10  3
 10 10]"
24,"['Aside' 'from' 'a' 'change' 'in' 'its' 'deployment' 'techniques' ',' 'a'
 'few' 'changes' 'in' 'its' 'code' 'set' 'it' 'apart' 'from' 'its'
 'previous' 'versions' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
25,"['This' 'newest' 'variant' 'has' 'been' 'labeled' 'XLoader' 'version'
 '6.0' '(' 'detected' 'as' 'AndroidOS_XLoader.HRXD' ')' ',' 'following'
 'the' 'last' 'version' 'discussed' 'in' 'a' 'previous' 'research' 'on'
 'the' 'malware' 'family' '.']","[10 10 10 10 10 10  1 10 10 10 10 10  0 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10]"
26,"['Infection' 'chain' 'The' 'threat' 'actors' 'behind' 'this' 'version'
 'used' 'several' 'fake' 'websites' 'as' 'their' 'host' '—' 'copying'
 'that' 'of' 'a' 'Japanese' 'mobile' 'phone' 'operator' '’' 's' 'website'
 'in' 'particular' '—' 'to' 'trick' 'users' 'into' 'downloading' 'the'
 'fake' 'security' 'Android' 'application' 'package' '(' 'APK' ')' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3 10 10 10 10 10 10]"
27,"['Monitoring' 'efforts' 'on' 'this' 'new' 'variant' 'revealed' 'that'
 'the' 'malicious' 'websites' 'are' 'spread' 'through' 'smishing' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
28,"['The' 'infection' 'has' 'not' 'spread' 'very' 'widely' 'at' 'the' 'time'
 'of' 'writing' ',' 'but' 'we' '’' 've' 'seen' 'that' 'many' 'users'
 'have' 'already' 'received' 'its' 'SMS' 'content' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10]"
29,"['In' 'the' 'past' ',' 'XLoader' 'showed' 'the' 'ability' 'to' 'mine'
 'cryptocurrency' 'on' 'PCs' 'and' 'perform' 'account' 'phishing' 'on'
 'iOS' 'devices' '.']",[10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10  3 10 10]
30,"['This' 'new' 'wave' 'also' 'presents' 'unique' 'attack' 'vectors' 'based'
 'on' 'the' 'kind' 'of' 'device' 'it' 'has' 'accessed' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
31,"['In' 'the' 'case' 'of' 'Android' 'devices' ',' 'accessing' 'the'
 'malicious' 'website' 'or' 'pressing' 'any' 'of' 'the' 'buttons' 'will'
 'prompt' 'the' 'download' 'of' 'the' 'APK' '.']","[10 10 10 10  3 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10]"
32,"['However' ',' 'successfully' 'installing' 'this' 'malicious' 'APK'
 'requires' 'that' 'the' 'user' 'has' 'allowed' 'the' 'installation' 'of'
 'such' 'apps' 'as' 'controlled' 'in' 'the' 'Unknown' 'Sources' 'settings'
 '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10]"
33,"['If' 'users' 'allow' 'such' 'apps' 'to' 'be' 'installed' ',' 'then' 'it'
 'can' 'be' 'actively' 'installed' 'on' 'the' 'victim' '’' 's' 'device'
 '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
34,"['The' 'infection' 'chain' 'is' 'slightly' 'more' 'roundabout' 'in' 'the'
 'case' 'of' 'Apple' 'devices' '.']",[10 10 10 10 10 10 10 10 10 10 10  3 10 10]
35,"['Accessing' 'the' 'same' 'malicious' 'site' 'would' 'redirect' 'its'
 'user' 'to' 'another' 'malicious' 'website' '(' 'hxxp' ':'
 '//apple-icloud' '[' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10  0  5  5  5  5]
36,[']' 'qwq-japan' '[' '.'],[5 5 5 5]
37,[']' 'com' 'or' 'hxxp' ':' '//apple-icloud' '[' '.'],[ 5  5 10  0  5  5  5  5]
38,[']' 'zqo-japan' '[' '.'],[5 5 5 5]
39,"[']' 'com' ')' 'that' 'prompts' 'the' 'user' 'to' 'install' 'a'
 'malicious' 'iOS' 'configuration' 'profile' 'to' 'solve' 'a' 'network'
 'issue' 'preventing' 'the' 'site' 'to' 'load' '.']","[ 5  5 10 10 10 10 10 10 10 10 10  3 10 10 10 10 10 10 10 10 10 10 10 10
 10]"
40,"['If' 'the' 'user' 'installs' 'the' 'profile' ',' 'the' 'malicious'
 'website' 'will' 'open' ',' 'revealing' 'it' 'to' 'be' 'an' 'Apple'
 'phishing' 'site' ',' 'as' 'seen' 'in' 'figure' '2' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  2 10 10 10 10 10
 10 10 10 10]"
41,"['Technical' 'analysis' 'Most' 'of' 'this' 'new' 'attack' '’' 's'
 'routines' 'are' 'similar' 'to' 'those' 'of' 'the' 'previous' 'XLoader'
 'versions' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1 10 10]
42,"['However' ',' 'as' 'mentioned' 'earlier' ',' 'an' 'analysis' 'of' 'this'
 'new' 'variant' 'showed' 'some' 'changes' 'in' 'its' 'code' 'in' 'line'
 'with' 'its' 'new' 'deployment' 'method' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10]"
43,"['We' 'discuss' 'these' 'changes' 'and' 'its' 'effect' 'on' 'Android'
 'and' 'Apple' 'devices' '.']",[10 10 10 10 10 10 10 10  3 10  3 10 10]
44,"['Malicious' 'APK' 'Like' 'its' 'previous' 'versions' ',' 'XLoader' '6.0'
 'abuses' 'social' 'media' 'user' 'profiles' 'to' 'hide' 'its' 'real' 'C'
 '&' 'C' 'addresses' ',' 'but' 'this' 'time' 'its' 'threat' 'actors'
 'chose' 'the' 'social' 'media' 'platform' 'Twitter' ',' 'which' 'was'
 'never' 'used' 'in' 'previous' 'attacks' '.']","[10 10 10 10 10 10 10  1  6 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10  2 10 10 10 10 10 10 10 10 10]"
45,"['The' 'real' 'C' '&' 'C' 'address' 'is' 'encoded' 'in' 'the' 'Twitter'
 'names' ',' 'and' 'can' 'only' 'be' 'revealed' 'once' 'decoded' '.']",[10 10 10 10 10 10 10 10 10 10  2 10 10 10 10 10 10 10 10 10 10]
46,['This' 'adds' 'an' 'extra' 'layer' 'against' 'detection' '.'],[10 10 10 10 10 10 10 10]
47,"['The' 'code' 'for' 'this' 'characteristic' 'and' 'the' 'corresponding'
 'Twitter' 'accounts' 'can' 'be' 'seen' 'in' 'figures' '3' 'and' '4'
 'respectively' '.']",[10 10 10 10 10 10 10 10  2 10 10 10 10 10 10 10 10 10 10 10]
48,"['Version' '6.0' 'also' 'adds' 'a' 'command' 'called' '“' 'getPhoneState'
 '”' ',' 'which' 'collects' 'unique' 'identifiers' 'of' 'mobile' 'devices'
 'such' 'as' 'IMSI' ',' 'ICCID' ',' 'Android' 'ID' ',' 'and' 'device'
 'serial' 'number' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
  3 10 10 10 10 10 10 10]"
49,['This' 'addition' 'is' 'seen' 'in' 'Figure' '5' '.'],[10 10 10 10 10 10 10 10]
50,"['Considering' 'the' 'other' 'malicious' 'behaviors' 'of' 'XLoader' ','
 'this' 'added' 'operation' 'could' 'be' 'very' 'dangerous' 'as' 'threat'
 'actors' 'can' 'use' 'it' 'to' 'perform' 'targeted' 'attacks' '.']","[10 10 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10]"
51,"['Malicious' 'iOS' 'profile' 'In' 'the' 'case' 'of' 'Apple' 'devices' ','
 'the' 'downloaded' 'malicious' 'iOS' 'profile' 'gathers' 'the'
 'following' ':' 'Unique' 'device' 'identifier' '(' 'UDID' ')'
 'International' 'Mobile' 'Equipment' 'Identity' '(' 'IMEI' ')'
 'Integrated' 'Circuit' 'Card' 'ID' '(' 'ICCID' ')' 'Mobile' 'equipment'
 'identifier' '(' 'MEID' ')' 'Version' 'number' 'Product' 'number' 'The'
 'profile' 'installations' 'differ' 'depending' 'on' 'the' 'iOS' '.']","[10  3 10 10 10 10 10  3 10 10 10 10 10  3 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10  3 10]"
52,"['For' 'versions' '11.0' 'and' '11.4' ',' 'the' 'installation' 'is'
 'straightforward' '.']",[10 10 10 10 10 10 10 10 10 10 10]
53,"['If' 'a' 'user' 'visits' 'the' 'profile' 'host' 'website' 'and' 'allows'
 'the' 'installer' 'to' 'download' ',' 'the' 'iOS' 'system' 'will' 'go'
 'directly' 'to' 'the' '“' 'Install' 'Profile' '”' 'page' '(' 'which'
 'shows' 'a' 'verified' 'safety' 'certificate' ')' ',' 'and' 'then'
 'request' 'the' 'users' '’' 'passcode' 'for' 'the' 'last' 'step' 'of'
 'installation' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10]"
54,"['On' 'later' 'versions' ',' 'specifically' 'iOS' '12.1.1' 'and' 'iOS'
 '12.2' ',' 'the' 'process' 'is' 'different' '.']",[10 10 10 10 10  3  8 10  3  8 10 10 10 10 10 10]
55,"['After' 'the' 'profile' 'is' 'downloaded' ',' 'the' 'iOS' 'system' 'will'
 'first' 'ask' 'users' 'to' 'review' 'the' 'profile' 'in' 'their'
 'settings' 'if' 'they' 'want' 'to' 'install' 'it' '.']","[10 10 10 10 10 10 10  3 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10]"
56,"['Users' 'can' 'see' 'a' '“' 'Profile' 'Downloaded' '”' 'added' 'in'
 'their' 'settings' '(' 'this' 'feature' 'is' 'in' 'iOS' '12.2' ',' 'but'
 'not' 'on' 'iOS' '12.1.1' ')' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3  8 10 10 10 10  3
  8 10 10]"
57,"['This' 'gives' 'users' 'a' 'chance' 'to' 'see' 'details' 'and' 'better'
 'understand' 'any' 'changes' 'made' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
58,"['After' 'the' 'review' ',' 'the' 'process' 'is' 'the' 'same' 'as' 'above'
 '.']",[10 10 10 10 10 10 10 10 10 10 10 10]
59,"['After' 'the' 'profile' 'is' 'installed' ',' 'the' 'user' 'will' 'then'
 'be' 'redirected' 'to' 'another' 'Apple' 'phishing' 'site' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10  2 10 10 10]
60,"['The' 'phishing' 'site' 'uses' 'the' 'gathered' 'information' 'as' 'its'
 'GET' 'parameter' ',' 'allowing' 'the' 'attacker' 'to' 'access' 'the'
 'stolen' 'information' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
61,"['Ongoing' 'activity' 'While' 'monitoring' 'this' 'particular' 'threat'
 ',' 'we' 'found' 'another' 'XLoader' 'variant' 'posing' 'as' 'a'
 'pornography' 'app' 'aimed' 'at' 'South' 'Korean' 'users' '.']",[10 10 10 10 10 10 10 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10]
62,"['The' '""' 'porn' 'kr' 'sex' ""''"" 'APK' 'connects' 'to' 'a' 'malicious'
 'website' 'that' 'runs' 'XLoader' 'in' 'the' 'background' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10  1 10 10 10 10]
63,"['The' 'website' 'uses' 'a' 'different' 'fixed' 'twitter' 'account' '('
 'https' ':' '//twitter.com/fdgoer343' ')' '.']",[10 10 10 10 10 10  2 10 10  0  5  5 10 10]
64,"['This' 'attack' ',' 'however' ',' 'seems' 'exclusive' 'to' 'Android'
 'users' ',' 'as' 'it' 'does' 'not' 'have' 'the' 'code' 'to' 'attack'
 'iOS' 'devices' '.']",[10 10 10 10 10 10 10 10  3 10 10 10 10 10 10 10 10 10 10 10  3 10 10]
65,"['Succeeding' 'monitoring' 'efforts' 'revealed' 'a' 'newer' 'variant'
 'that' 'exploits' 'the' 'social' 'media' 'platforms' 'Instagram' 'and'
 'Tumblr' 'instead' 'of' 'Twitter' 'to' 'hide' 'its' 'C' '&' 'C' 'address'
 '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10  2 10  2 10 10  2 10 10 10 10 10
 10 10 10]"
66,"['We' 'labeled' 'this' 'new' 'variant' 'XLoader' 'version' '7.0' ','
 'because' 'of' 'the' 'different' 'deployment' 'method' 'and' 'its' 'use'
 'of' 'the' 'native' 'code' 'to' 'load' 'the' 'payload' 'and' 'hide' 'in'
 'Instagram' 'and' 'Tumblr' 'profiles' '.']","[10 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10  2 10  2 10 10]"
67,"['These' 'more' 'recent' 'developments' 'indicate' 'that' 'XLoader' 'is'
 'still' 'evolving' '.']",[10 10 10 10 10 10  1 10 10 10 10]
68,"['Adding' 'connections' 'to' 'FakeSpy' 'We' 'have' 'been' 'seeing'
 'activity' 'from' 'XLoader' 'since' '2018' ',' 'and' 'have' 'since'
 'followed' 'up' 'our' 'initial' 'findings' 'with' 'a' 'detailed'
 'research' 'revealing' 'a' 'wealth' 'of' 'activity' 'dating' 'back' 'to'
 'as' 'early' 'as' 'January' '2015' ',' 'which' 'outlined' 'a' 'major'
 'discovery—its' 'connection' 'to' 'FakeSpy' '.']","[10 10 10  1 10 10 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1
 10]"
69,"['The' 'emergence' 'of' 'XLoader' '6.0' 'does' 'not' 'only' 'indicate'
 'that' 'the' 'threat' 'actors' 'behind' 'it' 'remain' 'active' ';' 'it'
 'also' 'holds' 'fresh' 'evidence' 'of' 'its' 'connection' 'to' 'FakeSpy'
 '.']","[10 10 10  1  6 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10  1 10]"
70,"['One' 'such' 'immediately' 'apparent' 'connection' 'was' 'the' 'similar'
 'deployment' 'technique' 'used' 'by' 'both' 'XLoader' '6.0' 'and'
 'FakeSpy' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10  1  6 10  1 10]
71,"['It' 'had' 'again' 'cloned' 'a' 'different' 'legitimate' 'Japanese'
 'website' 'to' 'host' 'its' 'malicious' 'app' ',' 'similar' 'to' 'what'
 'FakeSpy' 'had' 'also' 'done' 'before' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1 10 10 10 10 10]
72,"['Their' 'similarity' 'is' 'made' 'more' 'apparent' 'by' 'looking' 'at'
 'their' 'naming' 'method' 'for' 'downloadable' 'files' ',' 'domain'
 'structure' 'of' 'fake' 'websites' 'and' 'other' 'details' 'of' 'their'
 'deployment' 'techniques' ',' 'exemplified' 'in' 'figure' '10' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10]"
73,"['XLoader' '6.0' 'also' 'mirrors' 'the' 'way' 'FakeSpy' 'hides' 'its'
 'real' 'C' '&' 'C' 'server' '.']",[ 1  6 10 10 10 10  1 10 10 10 10 10 10 10 10]
74,"['When' 'before' 'it' 'had' 'used' 'several' 'different' 'social' 'media'
 'platforms' ',' 'it' 'now' 'uses' 'the' 'Twitter' 'platform' ','
 'something' 'FakeSpy' 'has' 'done' 'in' 'its' 'past' 'attacks' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  2 10 10 10  1 10 10 10 10
 10 10 10]"
75,"['Analysis' 'of' 'the' 'malicious' 'iOS' 'profile' 'also' 'revealed'
 'further' 'connections' ',' 'as' 'the' 'profile' 'can' 'also' 'be'
 'downloaded' 'from' 'a' 'website' 'that' 'FakeSpy' 'deployed' 'early'
 'this' 'year' '.']","[10 10 10 10  3 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1 10
 10 10 10 10]"
76,"['Conclusion' 'and' 'security' 'recommendations' 'The' 'continued'
 'monitoring' 'of' 'XLoader' 'showed' 'how' 'its' 'operators'
 'continuously' 'changed' 'its' 'features' ',' 'such' 'as' 'its' 'attack'
 'vector' 'deployment' 'infrastructure' 'and' 'deployment' 'techniques'
 '.']","[10 10 10 10 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10]"
77,"['This' 'newest' 'entry' 'seems' 'to' 'indicate' 'that' 'these' 'changes'
 'won' '’' 't' 'be' 'stopping' 'soon' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
78,"['Being' 'aware' 'of' 'this' 'fact' 'can' 'help' 'create' 'defensive'
 'strategies' ',' 'as' 'well' 'as' 'prepare' 'for' 'upcoming' 'attacks'
 '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
79,"['In' 'addition' ',' 'just' 'as' 'uncovering' 'new' 'characteristics' 'is'
 'important' ',' 'finding' 'ones' 'we' '’' 've' 'also' 'seen' 'in' 'a'
 'different' 'malware' 'family' 'like' 'FakeSpy' 'also' 'provides'
 'valuable' 'insight' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
  1 10 10 10 10 10]"
80,"['Links' 'between' 'XLoader' 'and' 'FakeSpy' 'can' 'give' 'clues' 'to'
 'the' 'much' 'broader' 'inner' 'workings' 'of' 'the' 'threat' 'actors'
 'behind' 'them' '.']",[10 10  1 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
81,"['Perhaps' 'more' 'information' 'on' 'XLoader' 'will' 'be' 'known' 'in'
 'the' 'future' '.']",[10 10 10 10  1 10 10 10 10 10 10 10]
82,"['For' 'now' ',' 'users' 'can' 'make' 'the' 'best' 'of' 'the' 'knowledge'
 'they' 'have' 'now' 'to' 'significantly' 'reduce' 'the' 'effectivity'
 'of' 'such' 'malware' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
83,"['Users' 'of' 'iOS' 'can' 'remove' 'the' 'malicious' 'profile' 'using'
 'the' 'Apple' 'Configurator' '2' ',' 'Apple' '’' 's' 'official' 'iOS'
 'helper' 'app' 'for' 'managing' 'Apple' 'devices' '.']","[10 10  3 10 10 10 10 10 10 10  2 10 10 10  2 10 10 10  3 10 10 10 10  2
 10 10]"
84,"['Following' 'simple' 'best' 'practices' ',' 'like' 'strictly'
 'downloading' 'applications' 'or' 'any' 'files' 'from' 'trusted'
 'sources' 'and' 'being' 'wary' 'of' 'unsolicited' 'messages' ',' 'can'
 'also' 'prevent' 'similar' 'attacks' 'from' 'compromising' 'devices' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10]"
